日期,时间戳,合约代码,合约名称,合约位置,到期日,距到期天数,期货价格,指数价格,升贴水点数,升贴水率,升贴水状态,成交量,持仓量,告警级别,更新时间
2026-04-22,2026-04-22 14:12:22,IF0,,其他,,30,4725.0,4751.2794,-26.27940000000035,-0.55310154986887,正常,42795,0,False,2026-04-22 14:12:22
2026-04-22,2026-04-22 14:12:22,IF2606,,其他,2026-06-19,57,4725.0,4751.2794,-26.27940000000035,-0.55310154986887,正常,42795,0,False,2026-04-22 14:12:22
2026-04-22,2026-04-22 14:12:22,IF2605,,其他,2026-05-15,22,4761.0,4751.2794,9.72059999999965,0.2045891049892719,正常,14328,0,False,2026-04-22 14:12:22
2026-04-22,2026-04-22 14:12:22,IF2609,,其他,2026-09-18,148,4646.2,4751.2794,-105.07940000000052,-2.211602205502807,贴水,9382,0,False,2026-04-22 14:12:22
2026-04-22,2026-04-22 14:12:22,IF2612,,其他,2026-12-18,239,4596.4,4751.2794,-154.87940000000071,-3.2597409447232404,大幅贴水,4419,0,True,2026-04-22 14:12:22
2026-04-22,2026-04-22 14:13:15,IM0,,其他,,30,8279.8,8317.2778,-37.47780000000057,-0.4506017581858402,正常,95865,196578,False,2026-04-22 14:13:15
2026-04-22,2026-04-22 14:13:15,IM2606,,其他,2026-06-19,57,8279.8,8317.2778,-37.47780000000057,-0.4506017581858402,正常,95865,196578,False,2026-04-22 14:13:15
2026-04-22,2026-04-22 14:13:15,IC0,,其他,,30,8216.2,8226.8516,-10.651599999999236,-0.1294735886569199,正常,63045,0,False,2026-04-22 14:13:15
2026-04-22,2026-04-22 14:13:15,IC2606,,其他,2026-06-19,57,8216.2,8226.8516,-10.651599999999236,-0.1294735886569199,正常,63045,0,False,2026-04-22 14:13:15
2026-04-22,2026-04-22 14:13:15,IF0,,其他,,30,4726.0,4751.2794,-25.27940000000035,-0.5320545872339216,正常,42902,0,False,2026-04-22 14:13:15
2026-04-22,2026-04-22 14:13:15,IF2606,,其他,2026-06-19,57,4726.0,4751.2794,-25.27940000000035,-0.5320545872339216,正常,42902,0,False,2026-04-22 14:13:15
2026-04-22,2026-04-22 14:13:15,IM2609,,其他,2026-09-18,148,8061.8,8317.2778,-255.4777999999997,-3.0716516406365515,大幅贴水,22447,105958,True,2026-04-22 14:13:15
2026-04-22,2026-04-22 14:13:15,IH0,,其他,,30,2909.6,2927.8637,-18.26369999999997,-0.62378928363366,正常,18712,0,False,2026-04-22 14:13:15
2026-04-22,2026-04-22 14:13:15,IH2606,,其他,2026-06-19,57,2909.6,2927.8637,-18.26369999999997,-0.62378928363366,正常,18712,0,False,2026-04-22 14:13:15
2026-04-22,2026-04-22 14:13:15,IC2605,,其他,2026-05-15,22,8303.8,8226.8516,76.94839999999931,0.935332296500879,正常,18453,0,False,2026-04-22 14:13:15
2026-04-22,2026-04-22 14:13:15,IC2609,,其他,2026-09-18,148,8065.4,8226.8516,-161.45160000000033,-1.9624955918738136,正常,15192,0,False,2026-04-22 14:13:15
2026-04-22,2026-04-22 14:13:15,IF2605,,其他,2026-05-15,22,4761.0,4751.2794,9.72059999999965,0.2045891049892719,正常,14375,0,False,2026-04-22 14:13:15
2026-04-22,2026-04-22 14:13:15,IF2609,,其他,2026-09-18,148,4647.4,4751.2794,-103.87940000000071,-2.1863458503408726,贴水,9421,0,False,2026-04-22 14:13:15
2026-04-22,2026-04-22 14:13:15,IM2612,,其他,2026-12-18,239,7861.8,8317.2778,-455.47779999999966,-5.476284560316113,大幅贴水,8612,15425,True,2026-04-22 14:13:15
2026-04-22,2026-04-22 14:13:15,IH2605,,其他,2026-05-15,22,2921.6,2927.8637,-6.263699999999972,-0.2139341390789459,正常,6724,0,False,2026-04-22 14:13:15
2026-04-22,2026-04-22 14:13:15,IC2612,,其他,2026-12-18,239,7922.2,8226.8516,-304.65160000000014,-3.703137175830425,大幅贴水,4953,0,True,2026-04-22 14:13:15
2026-04-22,2026-04-22 14:13:15,IH2609,,其他,2026-09-18,148,2875.2,2927.8637,-52.66370000000006,-1.79870736469051,正常,4603,0,False,2026-04-22 14:13:15
2026-04-22,2026-04-22 14:13:15,IF2612,,其他,2026-12-18,239,4597.4,4751.2794,-153.87940000000071,-3.238693982088292,大幅贴水,4449,0,True,2026-04-22 14:13:15
2026-04-22,2026-04-22 14:13:15,IH2612,,其他,2026-12-18,239,2863.2,2927.8637,-64.66370000000006,-2.2085625092452243,贴水,1283,0,False,2026-04-22 14:13:15
2026-04-22,2026-04-22 14:13:24,IM0,,其他,,30,8281.0,8317.2778,-36.27779999999984,-0.4361739606677541,正常,95933,196605,False,2026-04-22 14:13:24
2026-04-22,2026-04-22 14:13:24,IM2606,,其他,2026-06-19,57,8281.0,8317.2778,-36.27779999999984,-0.4361739606677541,正常,95933,196605,False,2026-04-22 14:13:24
2026-04-22,2026-04-22 14:13:24,IC0,,其他,,30,8216.2,8226.8516,-10.651599999999236,-0.1294735886569199,正常,63045,0,False,2026-04-22 14:13:24
2026-04-22,2026-04-22 14:13:24,IC2606,,其他,2026-06-19,57,8216.2,8226.8516,-10.651599999999236,-0.1294735886569199,正常,63045,0,False,2026-04-22 14:13:24
2026-04-22,2026-04-22 14:13:24,IF0,,其他,,30,4726.0,4751.2794,-25.27940000000035,-0.5320545872339216,正常,42902,0,False,2026-04-22 14:13:24
2026-04-22,2026-04-22 14:13:24,IF2606,,其他,2026-06-19,57,4726.0,4751.2794,-25.27940000000035,-0.5320545872339216,正常,42902,0,False,2026-04-22 14:13:24
2026-04-22,2026-04-22 14:13:24,IM2609,,其他,2026-09-18,148,8063.6,8317.2778,-253.67779999999948,-3.050009944359433,大幅贴水,22459,105964,True,2026-04-22 14:13:24
2026-04-22,2026-04-22 14:13:24,IH0,,其他,,30,2909.6,2927.8637,-18.26369999999997,-0.62378928363366,正常,18712,0,False,2026-04-22 14:13:24
2026-04-22,2026-04-22 14:13:24,IH2606,,其他,2026-06-19,57,2909.6,2927.8637,-18.26369999999997,-0.62378928363366,正常,18712,0,False,2026-04-22 14:13:24
2026-04-22,2026-04-22 14:13:24,IC2605,,其他,2026-05-15,22,8303.8,8226.8516,76.94839999999931,0.935332296500879,正常,18453,0,False,2026-04-22 14:13:24
2026-04-22,2026-04-22 14:13:24,IC2609,,其他,2026-09-18,148,8065.4,8226.8516,-161.45160000000033,-1.9624955918738136,正常,15192,0,False,2026-04-22 14:13:24
2026-04-22,2026-04-22 14:13:24,IF2605,,其他,2026-05-15,22,4761.0,4751.2794,9.72059999999965,0.2045891049892719,正常,14375,0,False,2026-04-22 14:13:24
2026-04-22,2026-04-22 14:13:24,IF2609,,其他,2026-09-18,148,4647.4,4751.2794,-103.87940000000071,-2.1863458503408726,贴水,9421,0,False,2026-04-22 14:13:24
2026-04-22,2026-04-22 14:13:24,IM2612,,其他,2026-12-18,239,7864.2,8317.2778,-453.0778,-5.447428965279963,大幅贴水,8613,15425,True,2026-04-22 14:13:24
2026-04-22,2026-04-22 14:13:24,IH2605,,其他,2026-05-15,22,2921.6,2927.8637,-6.263699999999972,-0.2139341390789459,正常,6724,0,False,2026-04-22 14:13:24
2026-04-22,2026-04-22 14:13:24,IC2612,,其他,2026-12-18,239,7922.2,8226.8516,-304.65160000000014,-3.703137175830425,大幅贴水,4953,0,True,2026-04-22 14:13:24
2026-04-22,2026-04-22 14:13:24,IH2609,,其他,2026-09-18,148,2875.2,2927.8637,-52.66370000000006,-1.79870736469051,正常,4603,0,False,2026-04-22 14:13:24
2026-04-22,2026-04-22 14:13:24,IF2612,,其他,2026-12-18,239,4597.4,4751.2794,-153.87940000000071,-3.238693982088292,大幅贴水,4449,0,True,2026-04-22 14:13:24
2026-04-22,2026-04-22 14:13:24,IH2612,,其他,2026-12-18,239,2863.2,2927.8637,-64.66370000000006,-2.2085625092452243,贴水,1283,0,False,2026-04-22 14:13:24
2026-04-22,2026-04-22 14:14:15,IM0,,其他,,30,8277.8,8317.2778,-39.47780000000057,-0.47464808738263586,正常,96261,196752,False,2026-04-22 14:14:15
2026-04-22,2026-04-22 14:14:15,IM2606,,其他,2026-06-19,57,8277.8,8317.2778,-39.47780000000057,-0.47464808738263586,正常,96261,196752,False,2026-04-22 14:14:15
2026-04-22,2026-04-22 14:14:15,IC0,,其他,,30,8213.2,8226.8516,-13.651599999999235,-0.16593954362807803,正常,63376,0,False,2026-04-22 14:14:15
2026-04-22,2026-04-22 14:14:15,IC2606,,其他,2026-06-19,57,8213.2,8226.8516,-13.651599999999235,-0.16593954362807803,正常,63376,0,False,2026-04-22 14:14:15
2026-04-22,2026-04-22 14:14:15,IF0,,其他,,30,4725.6,4751.2794,-25.679399999999987,-0.5404733722878933,正常,42982,0,False,2026-04-22 14:14:15
2026-04-22,2026-04-22 14:14:15,IF2606,,其他,2026-06-19,57,4725.6,4751.2794,-25.679399999999987,-0.5404733722878933,正常,42982,0,False,2026-04-22 14:14:15
2026-04-22,2026-04-22 14:14:15,IM2609,,其他,2026-09-18,148,8060.4,8317.2778,-256.8778000000002,-3.0884840710743147,大幅贴水,22512,105962,True,2026-04-22 14:14:15
2026-04-22,2026-04-22 14:14:15,IH0,,其他,,30,2908.8,2927.8637,-19.0636999999997,-0.6511129599372982,正常,18822,0,False,2026-04-22 14:14:15
2026-04-22,2026-04-22 14:14:15,IH2606,,其他,2026-06-19,57,2908.8,2927.8637,-19.0636999999997,-0.6511129599372982,正常,18822,0,False,2026-04-22 14:14:15
2026-04-22,2026-04-22 14:14:15,IC2605,,其他,2026-05-15,22,8302.8,8226.8516,75.94839999999931,0.9231769781771596,正常,18507,0,False,2026-04-22 14:14:15
2026-04-22,2026-04-22 14:14:15,IC2609,,其他,2026-09-18,148,8061.8,8226.8516,-165.05159999999978,-2.006254737839197,贴水,15244,0,False,2026-04-22 14:14:15
2026-04-22,2026-04-22 14:14:15,IF2605,,其他,2026-05-15,22,4760.6,4751.2794,9.320600000000013,0.1961703199353002,正常,14400,0,False,2026-04-22 14:14:15
2026-04-22,2026-04-22 14:14:15,IF2609,,其他,2026-09-18,148,4646.6,4751.2794,-104.67939999999999,-2.203183420448816,贴水,9455,0,False,2026-04-22 14:14:15
2026-04-22,2026-04-22 14:14:15,IM2612,,其他,2026-12-18,239,7861.6,8317.2778,-455.6777999999995,-5.47868919323579,大幅贴水,8643,15449,True,2026-04-22 14:14:15
2026-04-22,2026-04-22 14:14:15,IH2605,,其他,2026-05-15,22,2921.6,2927.8637,-6.263699999999972,-0.21393413907894593,正常,6765,0,False,2026-04-22 14:14:15
2026-04-22,2026-04-22 14:14:15,IC2612,,其他,2026-12-18,239,7921.0,8226.8516,-305.85159999999996,-3.717723557818886,大幅贴水,4991,0,True,2026-04-22 14:14:15
2026-04-22,2026-04-22 14:14:15,IH2609,,其他,2026-09-18,148,2875.0,2927.8637,-52.86369999999988,-1.8055382837664158,正常,4620,0,False,2026-04-22 14:14:15
2026-04-22,2026-04-22 14:14:15,IF2612,,其他,2026-12-18,239,4596.4,4751.2794,-154.87940000000071,-3.2597409447232404,大幅贴水,4471,0,True,2026-04-22 14:14:15
2026-04-22,2026-04-22 14:14:15,IH2612,,其他,2026-12-18,239,2864.0,2927.8637,-63.86369999999988,-2.1812388329415704,贴水,1289,0,False,2026-04-22 14:14:15
