日期,时间戳,合约代码,合约名称,合约位置,到期日,距到期天数,期货价格,指数价格,升贴水点数,升贴水率,升贴水状态,成交量,持仓量,告警级别,更新时间
2026-04-23,2026-04-23 13:39:23,IM0,中证1000指数期货连续,其他,,30,8188.6,8488.996,-300.3959999999988,-3.538651685075584,大幅贴水,115671,197575,True,2026-04-23 13:39:23
2026-04-23,2026-04-23 13:39:23,IC0,中证500指数期货连续,其他,,30,8145.6,8387.7647,-242.16469999999936,-2.887118423815577,贴水,76206,0,False,2026-04-23 13:39:23
2026-04-23,2026-04-23 13:39:23,IC2606,中证500指数期货2606,其他,2026-06-19,56,8145.6,8387.7647,-242.16469999999936,-2.887118423815577,贴水,76206,0,False,2026-04-23 13:39:23
2026-04-23,2026-04-23 13:39:23,IF0,沪深300指数期货连续,其他,,30,4718.6,4816.0267,-97.42669999999998,-2.022968435785457,贴水,53911,0,False,2026-04-23 13:39:23
2026-04-23,2026-04-23 13:39:23,IF2606,沪深300指数期货2606,其他,2026-06-19,56,4718.6,4816.0267,-97.42669999999998,-2.022968435785457,贴水,53911,0,False,2026-04-23 13:39:23
2026-04-23,2026-04-23 13:39:23,IH0,上证50指数期货连续,其他,,30,2904.8,2938.1651,-33.365099999999984,-1.135576077736407,正常,25259,0,False,2026-04-23 13:39:23
2026-04-23,2026-04-23 13:39:23,IH2606,上证50指数期货2606,其他,2026-06-19,56,2904.8,2938.1651,-33.365099999999984,-1.135576077736407,正常,25259,0,False,2026-04-23 13:39:23
2026-04-23,2026-04-23 13:39:23,IC2605,中证500指数期货2605,其他,2026-05-15,21,8236.4,8387.7647,-151.36470000000008,-1.804589248909189,正常,23637,0,False,2026-04-23 13:39:23
2026-04-23,2026-04-23 13:39:23,IF2605,沪深300指数期货2605,其他,2026-05-15,21,4759.4,4816.0267,-56.62670000000071,-1.1757970527862875,正常,19385,0,False,2026-04-23 13:39:23
2026-04-23,2026-04-23 13:39:23,IC2609,中证500指数期货2609,其他,2026-09-18,147,7993.8,8387.7647,-393.96469999999954,-4.696897374815481,大幅贴水,17547,0,True,2026-04-23 13:39:23
2026-04-23,2026-04-23 13:39:23,IF2609,沪深300指数期货2609,其他,2026-09-18,147,4636.4,4816.0267,-179.6267000000007,-3.729769604475006,大幅贴水,12160,0,True,2026-04-23 13:39:23
2026-04-23,2026-04-23 13:39:23,IH2605,上证50指数期货2605,其他,2026-05-15,21,2919.0,2938.1651,-19.16510000000017,-0.6522812485928774,正常,8971,0,False,2026-04-23 13:39:23
2026-04-23,2026-04-23 13:39:23,IH2609,上证50指数期货2609,其他,2026-09-18,147,2869.4,2938.1651,-68.76510000000007,-2.340409665882971,贴水,6043,0,False,2026-04-23 13:39:23
2026-04-23,2026-04-23 13:39:23,IF2612,沪深300指数期货2612,其他,2026-12-18,238,4586.0,4816.0267,-230.02670000000035,-4.776275430532815,大幅贴水,4808,0,True,2026-04-23 13:39:23
2026-04-23,2026-04-23 13:39:23,IC2612,中证500指数期货2612,其他,2026-12-18,238,7846.0,8387.7647,-541.7646999999997,-6.458987815907613,大幅贴水,4503,0,True,2026-04-23 13:39:23
2026-04-23,2026-04-23 13:39:23,IH2612,上证50指数期货2612,其他,2026-12-18,238,2857.0,2938.1651,-81.16510000000017,-2.7624417702054984,贴水,1730,0,False,2026-04-23 13:39:23
2026-04-23,2026-04-23 13:40:22,IM0,中证1000指数期货连续,其他,,30,8180.4,8488.996,-308.59599999999955,-3.63524732488977,大幅贴水,116276,197704,True,2026-04-23 13:40:22
2026-04-23,2026-04-23 13:40:22,IC0,中证500指数期货连续,其他,,30,8135.0,8387.7647,-252.7646999999997,-3.013492975071174,大幅贴水,76642,0,True,2026-04-23 13:40:22
2026-04-23,2026-04-23 13:40:22,IC2606,中证500指数期货2606,其他,2026-06-19,56,8135.0,8387.7647,-252.7646999999997,-3.013492975071174,大幅贴水,76642,0,True,2026-04-23 13:40:22
2026-04-23,2026-04-23 13:40:22,IF0,沪深300指数期货连续,其他,,30,4714.4,4816.0267,-101.62670000000072,-2.110177254623624,贴水,54189,0,False,2026-04-23 13:40:22
2026-04-23,2026-04-23 13:40:22,IF2606,沪深300指数期货2606,其他,2026-06-19,56,4714.4,4816.0267,-101.62670000000072,-2.110177254623624,贴水,54189,0,False,2026-04-23 13:40:22
2026-04-23,2026-04-23 13:40:22,IH0,上证50指数期货连续,其他,,30,2902.6,2938.1651,-35.56510000000026,-1.2104527414065416,正常,25434,0,False,2026-04-23 13:40:22
2026-04-23,2026-04-23 13:40:22,IH2606,上证50指数期货2606,其他,2026-06-19,56,2902.6,2938.1651,-35.56510000000026,-1.2104527414065416,正常,25434,0,False,2026-04-23 13:40:22
2026-04-23,2026-04-23 13:40:22,IC2605,中证500指数期货2605,其他,2026-05-15,21,8227.8,8387.7647,-159.96470000000045,-1.9071195452109009,正常,23827,0,False,2026-04-23 13:40:22
2026-04-23,2026-04-23 13:40:22,IF2605,沪深300指数期货2605,其他,2026-05-15,21,4754.8,4816.0267,-61.22670000000016,-1.2713114734185371,正常,19455,0,False,2026-04-23 13:40:22
2026-04-23,2026-04-23 13:40:22,IC2609,中证500指数期货2609,其他,2026-09-18,147,7984.4,8387.7647,-403.3647000000001,-4.808965373098748,大幅贴水,17598,0,True,2026-04-23 13:40:22
2026-04-23,2026-04-23 13:40:22,IF2609,沪深300指数期货2609,其他,2026-09-18,147,4632.2,4816.0267,-183.82670000000053,-3.816978423313154,大幅贴水,12212,0,True,2026-04-23 13:40:22
2026-04-23,2026-04-23 13:40:22,IH2605,上证50指数期货2605,其他,2026-05-15,21,2917.2,2938.1651,-20.965100000000348,-0.7135439734138951,正常,9005,0,False,2026-04-23 13:40:22
2026-04-23,2026-04-23 13:40:22,IH2609,上证50指数期货2609,其他,2026-09-18,147,2867.8,2938.1651,-70.36509999999998,-2.394865421279423,贴水,6070,0,False,2026-04-23 13:40:22
2026-04-23,2026-04-23 13:40:22,IF2612,沪深300指数期货2612,其他,2026-12-18,238,4581.6,4816.0267,-234.4267,-4.867637050268014,大幅贴水,4820,0,True,2026-04-23 13:40:22
2026-04-23,2026-04-23 13:40:22,IC2612,中证500指数期货2612,其他,2026-12-18,238,7839.2,8387.7647,-548.5646999999999,-6.540058282750826,大幅贴水,4515,0,True,2026-04-23 13:40:22
2026-04-23,2026-04-23 13:40:22,IH2612,上证50指数期货2612,其他,2026-12-18,238,2857.0,2938.1651,-81.16510000000017,-2.7624417702054984,贴水,1731,0,False,2026-04-23 13:40:22
2026-04-23,2026-04-23 13:41:21,IM0,中证1000指数期货连续,其他,,30,8180.6,8488.996,-308.3959999999988,-3.6328913336747815,大幅贴水,116717,197857,True,2026-04-23 13:41:21
2026-04-23,2026-04-23 13:41:21,IC0,中证500指数期货连续,其他,,30,8129.4,8387.7647,-258.3647000000001,-3.0802568889420576,大幅贴水,77033,0,True,2026-04-23 13:41:21
2026-04-23,2026-04-23 13:41:21,IC2606,中证500指数期货2606,其他,2026-06-19,56,8129.4,8387.7647,-258.3647000000001,-3.0802568889420576,大幅贴水,77033,0,True,2026-04-23 13:41:21
2026-04-23,2026-04-23 13:41:21,IF0,沪深300指数期货连续,其他,,30,4714.6,4816.0267,-101.42669999999998,-2.106024453726554,贴水,54426,0,False,2026-04-23 13:41:21
